Date Time,Open,High,Low,Close,Volume
2016-08-11 00:00:00,7.74,7.74,7.65,7.7, 4312
2016-08-12 00:00:00,7.72,7.77,7.68,7.7, 3747
2016-08-15 00:00:00,7.72,7.81,7.71,7.79, 6095
2016-08-16 00:00:00,7.59,7.71,7.59,7.66, 6059
2016-08-17 00:00:00,7.66,7.66,7.59,7.62, 3269
2016-08-18 00:00:00,7.63,7.65,7.6,7.61, 2130
2016-08-19 00:00:00,7.66,7.8,7.65,7.7, 7434
2016-08-23 00:00:00,7.67,7.68,7.65,7.65, 486
2016-08-24 00:00:00,7.67,7.72,7.63,7.68, 4135
2016-08-25 00:00:00,7.68,7.74,7.64,7.65, 5015
2016-08-26 00:00:00,7.66,7.69,7.6,7.61, 3136
2016-08-29 00:00:00,7.62,7.63,7.56,7.58, 3481
2016-08-30 00:00:00,7.58,7.58,7.46,7.49, 6753
2016-08-31 00:00:00,7.49,7.49,7.38,7.39, 4880
2016-09-01 00:00:00,7.36,7.38,7.27,7.31, 6412
2016-09-02 00:00:00,7.33,7.35,7.23,7.25, 5033
2016-09-05 00:00:00,7.35,7.36,7.27,7.3, 4567
2016-09-06 00:00:00,7.32,7.44,7.3,7.41, 6012
2016-09-07 00:00:00,7.42,7.44,7.37,7.44, 5459
2016-09-08 00:00:00,7.53,7.91,7.53,7.85, 32198
2016-09-09 00:00:00,7.78,7.88,7.73,7.83, 13994
2016-09-10 00:00:00,7.75,7.75,7.65,7.68, 7273
2016-09-12 00:00:00,7.72,7.72,7.55,7.55, 6395
2016-09-13 00:00:00,7.6,7.64,7.44,7.53, 5327
2016-09-14 00:00:00,7.5,7.57,7.47,7.54, 3910
2016-09-19 00:00:00,7.57,7.62,7.52,7.56, 7318
2016-09-20 00:00:00,7.55,7.55,7.49,7.51, 3618
2016-09-21 00:00:00,7.55,7.56,7.47,7.53, 4109
2016-09-22 00:00:00,7.56,7.67,7.53,7.56, 5631
2016-09-23 00:00:00,7.58,7.61,7.54,7.55, 3711
2016-09-26 00:00:00,7.55,7.56,7.48,7.48, 3498
2016-09-29 00:00:00,7.51,7.59,7.49,7.52, 7429
2016-09-30 00:00:00,7.54,7.8,7.54,7.67, 18424
2016-10-03 00:00:00,7.7,7.75,7.6,7.65, 7987
2016-10-04 00:00:00,7.66,7.71,7.59,7.7, 5394
2016-10-05 00:00:00,7.7,7.73,7.64,7.7, 5469
2016-10-06 00:00:00,7.7,7.73,7.65,7.69, 3027
2016-10-07 00:00:00,7.71,8.39,7.71,8.28, 56277
2016-10-11 00:00:00,8.44,8.65,8.23,8.44, 50859
2016-10-12 00:00:00,8.41,8.41,8.21,8.28, 21010
2016-10-13 00:00:00,8.21,8.27,8.12,8.13, 14226
2016-10-14 00:00:00,8.16,8.37,8.16,8.18, 19860
2016-10-17 00:00:00,8.21,8.26,8.02,8.06, 10602
2016-10-18 00:00:00,8.07,8.27,8.05,8.22, 12161
2016-10-19 00:00:00,8.3,8.86,8.27,8.83, 62169
2016-10-20 00:00:00,9.08,9.71,9.08,9.71, 135201
2016-10-21 00:00:00,9.8,9.83,9.41,9.48, 67584
2016-10-24 00:00:00,9.53,9.66,9.29,9.33, 35416
2016-10-25 00:00:00,9.33,9.65,9.33,9.46, 39935
2016-10-26 00:00:00,9.49,9.54,9.4,9.4, 16213
2016-10-27 00:00:00,9.48,9.5,9.26,9.26, 24070
2016-10-28 00:00:00,9.3,9.31,9.11,9.13, 19073
2016-10-31 00:00:00,9.1,9.11,8.89,9.03, 22448
2016-11-01 00:00:00,9.03,9.46,9.02,9.31, 37393
2016-11-02 00:00:00,9.2,9.25,8.95,8.97, 27288
